Title,Author,Tropes,Heat Level
Eloise and the Grump Next Door,"Emma St Clair, Jenny Proctor",neighbors; opposites attract; closed‑door,Low–Medium
Izzy and Her Off‑Limits Love,"Emma St Clair, Jenny Proctor",forbidden attraction; closed‑door,Low–Medium
Merritt and Her Childhood Crush,"Emma St Clair, Jenny Proctor",childhood friends; slow burn; closed-door,Low–Medium
Sadie and the Bad Boy Billionaire,"Emma St Clair, Jenny Proctor",billionaire; bad boy; closed‑door,Low–Medium
If All Else Sails,Emma St. Clair,"brother's best friend, closed door, forced proximity",closed-door
The Buy-In,Emma St. Clair,"marriage of convenience, closed door",closed-door
All's Fair in Love and Blackmail,Gracie Ruth Mitchell,"brother's best friend, closed door, comedy",closed-door
Beauty and the Beach,Gracie Ruth Mitchell,enemies-to-lovers; marriage-of-convenience; brother’s best friend; dual pov,
Playing the Field,Grayson Long,"friends to more, closed door,friends to lovers",closed-door
Girl Meets Grump,Hailey Gardiner,"grumpy/sunshine, closed door,",closed-door
Girl Meets Grump,Hailey Gardiner,enemies‑to‑lovers; clean romance; small‑town,Low–Medium (Goodreads)
Home Run Heart,Hailey Gardiner,"baseball, closed door, second chance",closed-door
Home Run Heart,Hailey Gardiner,second chance; sports (baseball); friends‑to‑lovers,Low–Medium
The Duet,Hailey Gardiner,brother’s best friend; romantic comedy,Low–Medium
The Holiduel,Hailey Gardiner,holiday novella; enemies‑to‑lovers; christmas,Low–Medium
The Make Up,Hailey Gardiner,friends‑to‑lovers; closed‑door; humor,Low–Medium
The Retreat,Hailey Gardiner,enemies‑to‑lovers; workplace; clean comedy,Low–Medium
The Dating Game,Heather Miekstyn,"fake dating, closed door",closed-door
Pickleballers,Ilana Long,"enemies to more, closed door, sport",closed-door
"Raine, Raine, Run Away",India Tungate,"small town, closed door",closed-door
Absolutely Not in Love,Jenny Proctor,hockey romance; slow burn; friends to lovers,Low–Medium
How to Kiss Your Best Friend,Jenny Proctor,friends to lovers; small town; summer romance,Low–Medium
Merritt and Her Childhood Crush,Jenny Proctor,"childhood crush, sweet romance",closed-door
Once Upon a Boy Band,Jenny Proctor,"slowburn, closed door, music",closed-door
Petals and Plot Twists,Jenny Proctor,friends to lovers; magical setting; whimsical,Low
The Magic of Light,Jordan Abitz,"friends to more, closed door, small town",closed-door
The Magic of Light,Jordan Abitz,grumpy rancher; foster care advocate; second chance; healing romance (closed‑door),Low–Medium
A Fine Line,Juliana Smith,enemies‑to‑lovers; food truck rivalry; closed‑door,Low–Medium
Baggage Claim,Juliana Smith,fake dating; holiday; small town; closed‑door,"Low–Medium (Barnes & Noble, A Modern Day Fairy Tale)"
Baggage Claim¹,Juliana Smith,fake dating; holiday; closed‑door,Low–Medium
For the Record,Juliana Smith,"best friend's brother, closed door",closed-door
For the Record,Juliana Smith,marriage‑of‑convenience; workplace; closed‑door,Low–Medium
I Can Fix That,Juliana Smith,second chance; small town; closed‑door,Low–Medium
Per My Last Email,Juliana Smith,office romance; second chance; closed‑door,Low–Medium
Rock And A Hard Place,Juliana Smith,enemies‑to‑lovers; second chance; closed‑door,Low–Medium
Rock and a Hard Place,Juliana Smith,"second chance, closed door, broken marriage",closed-door
"Signed, Sealed, Delivered",Juliana Smith,"brother's best friend, closed door",closed-door
"Signed, Sealed, Delivered",Juliana Smith,mail‑room meet‑cute; slow burn; closed‑door,Low–Medium
Snowed Under,Juliana Smith,"strangers to friends to more, closed door",closed-door
Snowed Under,Juliana Smith,fake dating; opposites‑at‑attract; ski lodge; single parent; closed‑door,Low–Medium
All Made Up,Kara Isaac,workplace; second chance; friends-to‐lovers,Low–Medium
Start With Me,Kara Isaac,"slow burn, opposites attract, christian, faith, lawyers",closed-door
Start With Me,Kara Isaac,second chance; workplace; bad boy turned hero; redemption,Low–Medium
Then There Was You,Kara Isaac,grief recovery; second chance; small town; inspirational,Low–Medium
Cabin Crush,Kasey Stockton,brother’s best friend; childhood friends; forced proximity; holiday,Low–Medium
Falling in Line,Kasey Stockton,"second chance, small town",closed-door
I’m Not Charlotte Lucas,Kasey Stockton,enemies-to-lovers; slow burn; neighbors,Low–Medium
Love on Deck,Kasey Stockton,fake dating; enemies-to-lovers; forced proximity; small town,Low–Medium (GoodeyReads)
It's Always Sonny,Kate Watson,second chance,closed-door
Happiness for Beginners,Katherine Center,"self-discovery, wilderness, brother's best friend",closed-door
Hello Stranger,Katherine Center,"career-woman, medical, self-discovery, painter",closed-door
The Bodyguard,Katherine Center,"fake dating, closed door",closed-door
The Lost Husband,Katherine Center,second chance; small town; grief recovery,Low–Medium
The Rom-Commers,Katherine Center,"workplace, forced proximity, enemies to lovers",closed-door
What You Wish For,Katherine Center,"grief, teacher, uplifting",closed-door
What You Wish For,Katherine Center,"he takes care of her, closed door, workplace, teachers",closed-door
Season’s Schemings,Katie Bailey,marriage of convenience; forced proximity; hockey; fake dating,Low–Medium
The Quit List,Katie Bailey,rom‑com; self-discovery; closed‑door,Low–Medium
The Roommate Situation,Katie Bailey,"roommates, romantic comedy",closed-door
The Lodge,Kayla Olson,ski instructor; cozy winter; second chance; workplace (ghostwriting); mystery,Low–Medium
The Reunion,Kayla Olson,second chance; friends to lovers; celebrity; workplace (tv),Low–Medium
Commit,Kortney Keisel,fake dating; wedding weekend; exes; closed‑door,Low–Medium
Compared,Kortney Keisel,friends to lovers; single dad; age gap; closed‑door,Low–Medium
Complete,Kortney Keisel,"friends to lovers, lawyers",closed-door
Complete,Kortney Keisel,friends to lovers; yacht setting; slow burn; closed‑door,Low–Medium
Complex,Kortney Keisel,"roommates, quirky, grumpy/sunshine",closed-door
How Jenna Became My Dilemma,Kortney Keisel,"fake dating, closed door",closed-door
How Jenna Became My Dilemma,Kortney Keisel,fake dating; celebrity romance; closed‑door,Low–Medium
Later on We’ll Conspire,Kortney Keisel,holiday romance; closed‑door; small town; opposites attract,Low–Medium
Never The Bride,Kortney Keisel,fake dating; royalty; closed‑door,Low–Medium
Never With You,Kortney Keisel,"enemies to more, closed door, workplace",closed-door
Never With You,Kortney Keisel,fake dating; second chance; enemies-to-lovers; closed-door,Low–Medium
One Foggy Christmas,Kortney Keisel,holiday romance; second chance; closed‑door,Low–Medium
Summer Ever After,Kortney Keisel,"best friend's brother, closed door",closed-door
Summer Ever After,Kortney Keisel,friends to lovers; tropes-applied; small town; closed‑door romance,Low–Medium
The Desolate World,Kortney Keisel,ya fantasy; world-building; enemies-to-lovers,Low–Medium
The Forgotten Queen,Kortney Keisel,ya fantasy; political intrigue; enemies-to-lovers,Low–Medium
The Holiday Stand-In,Kortney Keisel,fake relationship; holiday; closed‑door; family,Low–Medium
The Promised Prince,Kortney Keisel,ya; fantasy; arranged marriage/royal; enemies-to-lovers,Low–Medium
The Rejected King,Kortney Keisel,young adult dystopian; arranged marriage?; enemies-to-lovers,Low–Medium
The Stolen Princess,Kortney Keisel,ya fantasy; kidnapping; enemies-to-lovers,Low–Medium
Why Trey Let Me Get Away,Kortney Keisel,"college sweethearts, second chance",closed-door
Why Trey Let Me Get Away,Kortney Keisel,second chance; sports star; closed‑door,Low–Medium
Fearful (Powerless #3.5),Lauren Roberts,ya novella; companion pov,Low–Medium
Fearless (Powerless #3),Lauren Roberts,ya fantasy; series conclusion; epic stakes,Low–Medium
Powerful (Powerless #1.5),Lauren Roberts,ya fantasy; novella; secondary pov,Low–Medium
Powerless,Lauren Roberts,"enemies to more, closed door,fantasy",closed-door
Powerless,Lauren Roberts,ya fantasy; enemies‑to‑lovers; forbidden romance,Low–Medium
Reckless (Powerless #2),Lauren Roberts,ya fantasy; enemies‑to‑lovers; high-stakes romance,Low–Medium
Betrothal or Breakaway,Leah Brunner,fake engagement; childhood friends; sport,Low–Medium
Cabin Mate,Leah Brunner,fake dating; cabin retreat; holiday novella,Low–Medium
Check Mate,Leah Brunner,friends to lovers; road trip; small town,Low–Medium
Desire or Defense,Leah Brunner,bad boy; opposites attract; grumpy/sunshine; slow burn; hockey,Medium
Desire or Defense,Leah Brunner,bad boy hockey player; grumpy/sunshine; slow burn,Medium
Flirtation or Faceoff,Leah Brunner,hockey romance; wholesome; slow burn,Low–Medium
Flirtation or Faceoff,Leah Brunner,enemies-to-lovers; hockey; teammate/bff,Low–Medium
House Mate,Leah Brunner,single dad; landlord/tenant; slow burn,Low–Medium
Passion or Penalty,Leah Brunner,teammate friendship; flirty banter; short novella,Low–Medium
Running Mate,Leah Brunner,fake marriage; political; small town; opposites-attract,Low–Medium
Secret or Shutout,Leah Brunner,"he takes care of her, closed door, hockey, brothers best friend",closed-door
Secret or Shutout,Leah Brunner,spannable chemistry; goalie; emotional growth,Low–Medium
Rookie Season,Leah Brunner & Katie Bailey,freshmen hockey; workplace; friends to lovers,Low–Medium
Just Between Us,Madison Wright,forbidden romance; landlord/tenant; photographer; closed‑door,Low–Medium
Just Friends,Madison Wright,friends to lovers; slow burn; dual pov; small town,Low–Medium
Just Go With It,Madison Wright,marriage-of-convenience; workplace; chronic illness; closed‑door,Low–Medium
Off the Beaten Path,Madison Wright,"grumpy/sunshine, closed door, small town",closed-door
Only in Your Dreams,Madison Wright,second chance; dual pov; small town,Low–Medium
The Burns We Carry,Marae Good,"small town, closed door",closed-door
The Light We Lost,Marae Good,"baseball, closed door, marriage of convenience, second chance, small town",closed-door
If I Never Remember,Meagan Williamson,"childhood friends to more, closed door",closed-door
Betting on the Best Friend's Brother,Melanie Jacobson,brothers’ best friend; slow burn; fake dating,Low–Medium
Betting on the Boy Next Door,Melanie Jacobson,"neighbors,",closed-door
Betting on the Boy Next Door,Melanie Jacobson,friends to lovers; fake dating; small town,Low–Medium
Betting on the Brainiac,Melanie Jacobson,geek hero; small town; second chance,Low–Medium
Cocoa Kisses,Melanie Jacobson,holiday; small town; second chance,Low–Medium
Dropping the Ball,Melanie Jacobson,"reunion, holiday, academic",closed-door
Here For It,Melanie Jacobson,small town; workplace; slow burn,Low–Medium
Kiss Me Now,Melanie Jacobson,small town; enemies-to-lovers; second chance,"Low–Medium (Book Series in Order, Fantastic Fiction)"
Kiss and Tell,Melanie Jacobson,forced proximity; second chance; camp romance,Low–Medium
Kiss the Girl,Melanie Jacobson,small town; forced proximity; workplace (coach and teacher),Low–Medium
Maybe I Will,Melanie Jacobson,small town; enemies-to-lovers; cooking/food,Low–Medium
Scrooge and the Girls Next Door,Melanie Jacobson,holiday; small town; enemies-to-lovers,Low–Medium
"Signed, Sealed, and Smitten",Melanie Jacobson,magical realism; enemies-to-lovers; clean romance,Low–Medium
So Not My Thing,Melanie Jacobson,small town; enemies-to-lovers; road trip,Low–Medium
The Fall Back Plan,Melanie Jacobson,friends to lovers; small town; second chance,Low–Medium
The Perfect Rom Com,Melissa Ferguson,"friends to more, closed door, script writers, workplace, foster rep",closed-door
Cinder-Nanny,Sariah Wilson,modern cinderella; nanny; enemies-to-lovers,Low–Medium
Hypnotized by Love,Sariah Wilson,"celebrity; enemies-to-lovers; music-themed, childhood friends",Low–Medium
Just a Boyfriend,Sariah Wilson,friends to lovers; small town; dual pov,Low–Medium
Party Favors,Sariah Wilson,party setting; romance; humor,Low–Medium
Roommaid,Sariah Wilson,"workplace; romance; hotel setting, forced proximity",Low–Medium
The Chemistry of Love,Sariah Wilson,workplace romance; stem,
The Friend Zone,Sariah Wilson,friends to lovers; small town; sports; emotional growth,Low–Medium
The Hollywood Jinx,Sariah Wilson,celebrity; workplace; enemies-to-lovers,Low–Medium
The Paid Bridesmaid,Sariah Wilson,"wedding; fake bridesmaid; romance comedy, friends to more",Low–Medium
The Seat Filler,Sariah Wilson,hollywood; fake-dating; workplace romance,Low–Medium
Catch a Wave,Savannah Scott,"second chance, brother’s best friend",closed-door
Doctorshipped,Savannah Scott,friends to lovers; workplace romance; co-workers; clean,Low–Medium
Friendshipped,Savannah Scott,friends to lovers; small town; co-workers; slow burn; clean,Low–Medium
Resorting to Romance,Savannah Scott,fake dating; friends to lovers; single mom; clean,Low–Medium
Ripped & Shipped,Savannah Scott,enemies-to-lovers; fitness/wellness; clean,Low–Medium
Townshipped,Savannah Scott,friends to lovers; small town; series sequel; clean,Low–Medium
Before I Do,Sophie Cousens,wedding; opposites-attract; second chance; women’s fiction,Low–Medium
Is She Really Going Out with Him?,Sophie Cousens,modern dating mishaps; comedy of errors,Low–Medium
Just Haven't Met You Yet,Sophie Cousens,"age gap, closed door",closed-door
Just Haven’t Met You Yet,Sophie Cousens,friends to lovers; travel; small town,Low–Medium
The Good Part,Sophie Cousens,magical realism; self-discovery; women’s fiction,Low–Medium
This Time Next Year,Sophie Cousens,time-skip; second chance; small town; women’s fiction,Low–Medium
I Got You,Stacy Williams,"marriage of convenience, closed door",closed-door
It's Always Us,Stacy Williams,"football, closed door, emotional, childhood friends to more, second chance",closed-door
Where You Belong,Stacy Williams,"football, closed door, single mom, singer",closed-door
All to Pieces,Susan Henshaw,high-school sweethearts; second chance; football hero,Low–Medium
Here's the Thing,Susan Henshaw,age-gap; professor/student; hidden identity; small town,Low–Medium
It Was Nothing,Susan Henshaw,small town; marriage of convenience; country setting,Low–Medium
Not A Thing,Susan Henshaw,"small town, fake dating, lawyer",closed-door
Not a Thing,Susan Henshaw,small town; fake dating; ex’s brother; restricted romance,Low–Medium
One Last Thing,Susan Henshaw,"small town, closed door",closed-door
One Last Thing,Susan Henshaw,small town; friends to lovers; he falls first; custody arrangement,"Low–Medium (Instagram, Amazon, romance.io)"
Sing Me Home,Susan Henshaw,small town; friends to lovers; music star; second chance,Low–Medium
Home Safe: A Sweet Baseball Romance,Tracy Baack,baseball romance; small town; clean romance; closed-door,Low–Medium
Love and Other Chances,Tracy Baack,sports; community; second chance; closed-door,Low–Medium
Love and Other Goals,Tracy Baack,sports (baseball); friends to lovers; closed-door,Low–Medium
Home Safe,Tracy Baeck,"baseball, closed door, foster rep",closed-door
