The Run Option,Annah Conwell,"Marriage of Convenience, Closed Door",closed-door
The Bodyguard,Katherine Center,"Fake Dating, Closed Door",closed-door
The Dating Game,Heather Miekstyn,"Fake Dating, Closed Door",closed-door
How Jenna Became My Dilemma,Kortney Keisel,"Fake Dating, Closed Door",closed-door
Everything's Coming Up Rosie,Courtney Walsh,"Strangers to Friends to More, Closed Door",closed-door
The Heart Shot,Emily Schneider,"Strangers to Friends to More, Closed Door",closed-door
Snowed Under,Juliana Smith,"Strangers to Friends to More, Closed Door",closed-door
Carry Me Away,Ashley Weston,"Childhood Friends to More, Closed Door",closed-door
Rebel Summer,Cindy Steel,"Childhood Friends to More, Closed Door",closed-door
If I Never Remember,Meagan Williamson,"Childhood Friends to More, Closed Door",closed-door
The Burns We Carry,Marae Good,"Small Town, Closed Door",closed-door
"Raine, Raine, Run Away",India Tungate,"Small Town, Closed Door",closed-door
One Last Thing,Susan Henshaw,"Small Town, Closed Door",closed-door
Three Days to Forget,Dulcie Dameron,"Age Gap, Closed Door",closed-door
Just Haven't Met You Yet,Sophie Cousens,"Age Gap, Closed Door",closed-door
The Double Play,Annah Conwell,"Age Gap, Closed Door",closed-door
Title,Author,Tropes,Heat Level
Absolutely Not in Love,Jenny Proctor,Hockey romance; Slow burn; friends to lovers,Low–Medium
How to Kiss Your Best Friend,Jenny Proctor,friends to lovers; Small town; Summer romance,Low–Medium
Petals and Plot Twists,Jenny Proctor,friends to lovers; Magical setting; Whimsical,Low
The Golden Goal,Annah Conwell,Rivals-to-lovers; Hockey; Enemies-to-lovers,Low–Medium
But He’s My Fake Fiancé,Annah Conwell,Fake dating; Summer romance; Closed-door,Low–Medium
The Double Play,Annah Conwell,Grumpy/sunshine; Single dad; Age gap; Baseball,Low–Medium
Desire or Defense,Leah Brunner,Bad boy; Opposites attract; Grumpy/sunshine; Slow burn; Hockey,Medium
Flirtation or Faceoff,Leah Brunner,Hockey romance; Wholesome; Slow burn,Low–Medium
Season’s Schemings,Katie Bailey,Marriage of convenience; Forced proximity; Hockey; Fake dating,Low–Medium
The Quit List,Katie Bailey,Rom‑com; Self-discovery; Closed‑door,Low–Medium
Falling for Your Best Friend’s Twin,Emma St Clair,friends to lovers; Twins; Small town,Low–Medium
Falling for Your Boss,Emma St Clair,Boss/employee; Age-gap; Workplace; Slow burn,Low–Medium
Falling for Your Fake Fiancé,Emma St Clair,Fake fiancé; Wealth gap; Closed-door,Low–Medium
The Twelve Holidates,Emma St Clair,Holiday; Group dates; Closed-door,Low
Falling for Your Best Friend,Emma St Clair,Best friends; Slow burn; Small town,Low–Medium
Falling for Your Enemy,Emma St Clair,Enemies-to-lovers; Misunderstanding,Low–Medium
Falling for Your Brother’s Best Friend,Emma St Clair,Brother’s best friend; Forbidden; Small town,Low–Medium
Royally Rearranged,Emma St Clair,Royalty; Fake dating; Grumpy/sunshine,Low–Medium
Royal Gone Rogue,Emma St Clair,Royal; Rebellion; Closed-door,Low–Medium
The Buy‑In,Emma St Clair,Wedding planner; Forced proximity; Closed-door,Low–Medium
The Bluff,Emma St Clair,Fake relationship; Poker; Small town,Low–Medium
A Holly Jilly Christmas,Emma St Clair,Holiday; Fake relationship; Closed-door,Low
The Pocket Pair,Emma St Clair,Small town; Poker; friends to lovers,Low–Medium
Upping the Ante,Emma St Clair,Fake dating; Poker; Closed‑door,Low–Medium
Eloise and the Grump Next Door,"Emma St Clair, Jenny Proctor",Neighbors; Opposites attract; Closed‑door,Low–Medium
Merritt and Her Childhood Crush,"Emma St Clair, Jenny Proctor",Childhood friends; Slow burn; Closed-door,Low–Medium
Sadie and the Bad Boy Billionaire,"Emma St Clair, Jenny Proctor",Billionaire; Bad boy; Closed‑door,Low–Medium
Izzy and Her Off‑Limits Love,"Emma St Clair, Jenny Proctor",Forbidden attraction; Closed‑door,Low–Medium
If All Else Sails,Emma St Clair,Sailing; Enemies-to-lovers; Closed‑door,Low–Medium
A Groom of One’s Own,Emma St Clair,Sports; Hockey; marriage of convenience; Closed-door,Low–Medium
Runaway Bride and Prejudice,Emma St Clair,Bridal escape; Small town; Closed-door,Low–Medium
As You Ice It,Emma St Clair,Hockey; Fake dating; Slow burn,Low–Medium
The Serendipity,Emma St Clair,Magical realism; Enemies-to-lovers; Closed‑door,Low–Medium
Never With You,Kortney Keisel,Fake dating; Second chance; Enemies-to-lovers; Closed-door,Low–Medium
Never The Bride,Kortney Keisel,Fake dating; Royalty; Closed‑door,Low–Medium
Compared,Kortney Keisel,friends to lovers; Single dad; Age gap; Closed‑door,Low–Medium
Complex,Kortney Keisel,Workplace romance; Resort setting; Slow burn; Closed‑door,Low–Medium
Complete,Kortney Keisel,friends to lovers; Yacht setting; Slow burn; Closed‑door,Low–Medium
Commit,Kortney Keisel,Fake dating; Wedding weekend; Exes; Closed‑door,Low–Medium
Summer Ever After,Kortney Keisel,friends to lovers; Tropes-applied; Small town; Closed‑door romance,Low–Medium
Why Trey Let Me Get Away,Kortney Keisel,Second chance; Sports star; Closed‑door,Low–Medium
How Jenna Became My Dilemma,Kortney Keisel,Fake dating; Celebrity romance; Closed‑door,Low–Medium
Later on We’ll Conspire,Kortney Keisel,Holiday romance; Closed‑door; Small town; Opposites attract,Low–Medium
The Holiday Stand-In,Kortney Keisel,Fake relationship; Holiday; Closed‑door; Family,Low–Medium
One Foggy Christmas,Kortney Keisel,Holiday romance; Second chance; Closed‑door,Low–Medium
The Rejected King,Kortney Keisel,Young adult dystopian; Arranged marriage?; Enemies-to-lovers,Low–Medium
The Promised Prince,Kortney Keisel,YA; Fantasy; Arranged marriage/royal; Enemies-to-lovers,Low–Medium
The Stolen Princess,Kortney Keisel,YA fantasy; Kidnapping; Enemies-to-lovers,Low–Medium
The Forgotten Queen,Kortney Keisel,YA fantasy; Political intrigue; Enemies-to-lovers,Low–Medium
The Desolate World,Kortney Keisel,YA fantasy; World-building; Enemies-to-lovers,Low–Medium
Kiss Me Now,Melanie Jacobson,Small town; Enemies-to-lovers; Second chance,"Low–Medium (Book Series in Order, Fantastic Fiction)"
Kiss the Girl,Melanie Jacobson,Small town; Forced proximity; Workplace (coach and teacher),Low–Medium
Kiss and Tell,Melanie Jacobson,Forced proximity; Second chance; Camp romance,Low–Medium
Scrooge and the Girls Next Door,Melanie Jacobson,Holiday; Small town; Enemies-to-lovers,Low–Medium
Cocoa Kisses,Melanie Jacobson,Holiday; Small town; Second chance,Low–Medium
So Not My Thing,Melanie Jacobson,Small town; Enemies-to-lovers; Road trip,Low–Medium
Here For It,Melanie Jacobson,Small town; Workplace; Slow burn,Low–Medium
Maybe I Will,Melanie Jacobson,Small town; Enemies-to-lovers; Cooking/food,Low–Medium
Betting on the Boy Next Door,Melanie Jacobson,friends to lovers; Fake dating; Small town,Low–Medium
Betting on the Best Friend's Brother,Melanie Jacobson,Brothers’ best friend; Slow burn; Fake dating,Low–Medium
Betting on the Brainiac,Melanie Jacobson,Geek hero; Small town; Second chance,Low–Medium
The Fall Back Plan,Melanie Jacobson,friends to lovers; Small town; Second chance,Low–Medium
"Signed, Sealed, and Smitten",Melanie Jacobson,Magical realism; Enemies-to-lovers; Clean romance,Low–Medium
Off the Beaten Path,Madison Wright,Enemies-to-lovers; Single dad; Small town; Online romance; Grumpy/sunshine,"Low (closed‑door) (Jeeves Reads, GoodeyReads)"
Only in Your Dreams,Madison Wright,Second chance; Dual POV; Small town,Low–Medium
Just Go With It,Madison Wright,Marriage-of-convenience; Workplace; Chronic illness; Closed‑door,Low–Medium
Just Between Us,Madison Wright,Forbidden romance; Landlord/tenant; Photographer; Closed‑door,Low–Medium
Just Friends,Madison Wright,friends to lovers; Slow burn; Dual POV; Small town,Low–Medium
Baggage Claim,Juliana Smith,Fake dating; Holiday; Small town; Closed‑door,"Low–Medium (Barnes & Noble, A Modern Day Fairy Tale)"
Snowed Under,Juliana Smith,Fake dating; Opposites‑at‑attract; Ski lodge; Single parent; Closed‑door,Low–Medium
Per My Last Email,Juliana Smith,Office romance; Second chance; Closed‑door,Low–Medium
"Signed, Sealed, Delivered",Juliana Smith,Mail‑room meet‑cute; Slow burn; Closed‑door,Low–Medium
Rock And A Hard Place,Juliana Smith,Enemies‑to‑lovers; Second chance; Closed‑door,Low–Medium
For the Record,Juliana Smith,Marriage‑of‑convenience; Workplace; Closed‑door,Low–Medium
A Fine Line,Juliana Smith,Enemies‑to‑lovers; Food truck rivalry; Closed‑door,Low–Medium
I Can Fix That,Juliana Smith,Second chance; Small town; Closed‑door,Low–Medium
Baggage Claim¹,Juliana Smith,Fake dating; Holiday; Closed‑door,Low–Medium
Hold Back the River,Ashley Dill,Second chance; Addiction recovery; Grief healing; Closed-door,Low–Medium
The Blooms That Broke Us,Ashley Dill,Marriage of convenience; Second chance; Family drama,Low–Medium
We Redeemed the Rain,Ashley Dill,Cowboy romance; friends to lovers; Healing; Closed‑door,Low–Medium
The Lost Husband,Katherine Center,Second chance; Small town; Grief recovery,Low–Medium
Happiness for Beginners,Katherine Center,Self-discovery; Enemies-to-lovers; Wilderness retreat,Low–Medium
How to Walk Away,Katherine Center,Grief recovery; Small town; Second chance,Low–Medium
Things You Save in a Fire,Katherine Center,Slow burn; Workplace (firefighter); Family,Low–Medium
What You Wish For,Katherine Center,Enemies-to-lovers; Beach town; Second chance,Low–Medium
The Bodyguard,Katherine Center,Bodyguard; Fake dating; Forced proximity; One bed; Slow burn,Medium
Hello Stranger,Katherine Center,Grief recovery; Face blindness; Second chance,Low–Medium
The Rom‑Commers,Katherine Center,Enemies-to-lovers,
Not Boyfriend Material,Becky Monson,Opposites‑attract; friends to lovers; Small town,Low–Medium
Desperately Seeking Mr. Darcy,Becky Monson,Pride & Prejudice retelling; Enemies‑to‑lovers,Low–Medium
One Happy Summer,Becky Monson,Summer fling; Small town; Self‑discovery,Low–Medium
Running Mate,Leah Brunner,Fake marriage; Political; Small town; Opposites-attract,Low–Medium
House Mate,Leah Brunner,Single dad; Landlord/tenant; Slow burn,Low–Medium
Check Mate,Leah Brunner,friends to lovers; Road trip; Small town,Low–Medium
Cabin Mate,Leah Brunner,Fake dating; Cabin retreat; Holiday novella,Low–Medium
Desire or Defense,Leah Brunner,Bad boy hockey player; Grumpy/sunshine; Slow burn,Medium
Passion or Penalty,Leah Brunner,Teammate friendship; Flirty banter; Short novella,Low–Medium
Flirtation or Faceoff,Leah Brunner,Enemies-to-lovers; Hockey; Teammate/BFF,Low–Medium
Betrothal or Breakaway,Leah Brunner,Fake engagement; Childhood friends; Sport,Low–Medium
Secret or Shutout,Leah Brunner,Spannable chemistry; Goalie; Emotional growth,Low–Medium
Rookie Season,Leah Brunner & Katie Bailey,Freshmen hockey; Workplace; friends to lovers,Low–Medium
Love on Deck,Kasey Stockton,Fake dating; Enemies-to-lovers; Forced proximity; small town,Low–Medium (GoodeyReads)
Cabin Crush,Kasey Stockton,Brother’s best friend; Childhood friends; Forced proximity; Holiday,Low–Medium
I’m Not Charlotte Lucas,Kasey Stockton,Enemies-to-lovers; Slow burn; neighbors,Low–Medium
The Love Audit,Annah Conwell,Fake dating; Small town; Workplace romance,Low–Medium
One More Song,Annah Conwell,Music; Second chance; Small town,Low–Medium
Out of Office,Annah Conwell,friends to lovers; Fake email romance,Low–Medium
The First Taste,Annah Conwell,Slow burn; Food; Small town,Low–Medium
One Last Play,Annah Conwell,Sports (high school); Enemies-to-lovers; Small town,Low–Medium
But He’s My Grumpy Neighbor,Annah Conwell,Enemies-to-lovers; Neighbors; Small town,Low–Medium
But He’s My One Regret,Annah Conwell,Second chance; Single parent,Low–Medium
But He’s My Fake Fiancé,Annah Conwell,Fake fiancé; Family expectations; Small town,Low–Medium
But He’s My Roommate,Annah Conwell,Roommates; Opposites-attract,Low–Medium
The Golden Goal,Annah Conwell,Hockey; Rivals-to-lovers; Sports romance,Low–Medium
The Perfect Putt,Annah Conwell,Golf; Enemies-to-lovers,Low–Medium
The Run Option,Annah Conwell,Running coach; Second chance,Low–Medium
The Double Play,Annah Conwell,Baseball; Brothers’ best friend; Slow burn,Low–Medium
The Confidentiality Clause,Annah Conwell,best friends brother ,Low–Medium
One Last Thing,Susan Henshaw,Small town; friends to lovers; He falls first; Custody arrangement,"Low–Medium (Instagram, Amazon, romance.io)"
Not a Thing,Susan Henshaw,Small town; Fake dating; Ex’s brother; Restricted romance,Low–Medium
All to Pieces,Susan Henshaw,High-school sweethearts; Second chance; Football hero,Low–Medium
Here's the Thing,Susan Henshaw,Age-gap; Professor/student; Hidden identity; Small town,Low–Medium
It Was Nothing,Susan Henshaw,Small town; Marriage of convenience; Country setting,Low–Medium
Sing Me Home,Susan Henshaw,Small town; friends to lovers; Music star; Second chance,Low–Medium
This Time Next Year,Sophie Cousens,Time-skip; Second chance; Small town; Women’s fiction,Low–Medium
Just Haven’t Met You Yet,Sophie Cousens,friends to lovers; Travel; Small town,Low–Medium
Before I Do,Sophie Cousens,Wedding; Opposites-attract; Second chance; Women’s fiction,Low–Medium
The Good Part,Sophie Cousens,Magical realism; Self-discovery; Women’s fiction,Low–Medium
Is She Really Going Out with Him?,Sophie Cousens,Modern dating mishaps; Comedy of errors,Low–Medium
Nora Goes Off Script,Annabel Monaghan,Single mom; Rom-com; Second chance; Hollywood,Low–Medium
Same Time Next Summer,Annabel Monaghan,Second chance; Small town; Summer romance,Low–Medium
Summer Romance,Annabel Monaghan,Single mom; Friends’ brother; Grief recovery,Low–Medium
It’s a Love Story,Annabel Monaghan,Fake dating; Celebrity; Music; Second chance,Low–Medium
Girl Meets Grump,Hailey Gardiner,Enemies‑to‑lovers; Clean romance; Small‑town,Low–Medium (Goodreads)
Home Run Heart,Hailey Gardiner,Second chance; Sports (baseball); Friends‑to‑lovers,Low–Medium
The Retreat,Hailey Gardiner,Enemies‑to‑lovers; Workplace; Clean comedy,Low–Medium
The Make Up,Hailey Gardiner,Friends‑to‑lovers; Closed‑door; Humor,Low–Medium
The Duet,Hailey Gardiner,Brother’s best friend; Romantic comedy,Low–Medium
The Holiduel,Hailey Gardiner,Holiday novella; Enemies‑to‑lovers; Christmas,Low–Medium
Then There Was You,Kara Isaac,Grief recovery; Second chance; Small Town; Inspirational,Low–Medium
All Made Up,Kara Isaac,Workplace; Second chance; Friends-to‐lovers,Low–Medium
Start With Me,Kara Isaac,Second chance; Workplace; Bad boy turned hero; Redemption,Low–Medium
The Reunion,Kayla Olson,Second chance; friends to lovers; Celebrity; Workplace (TV),Low–Medium
The Lodge,Kayla Olson,Ski instructor; Cozy winter; Second chance; Workplace (ghostwriting); Mystery,Low–Medium
A Cross-Country Christmas,Courtney Walsh,Road trip; Holiday romance,Low
A Cross-Country Wedding,Courtney Walsh,Wedding road trip; Holiday,Low
My Phony Valentine,Courtney Walsh,Fake relationship; Valentine’s holiday,Low
My Lucky Charm,Courtney Walsh,Holiday romance; Small town,Low
Friendshipped,Savannah Scott,friends to lovers; Small town; Co-workers; Slow burn; Clean,Low–Medium
Townshipped,Savannah Scott,friends to lovers; Small town; Series sequel; Clean,Low–Medium
Doctorshipped,Savannah Scott,friends to lovers; Workplace romance; Co-workers; Clean,Low–Medium
Ripped & Shipped,Savannah Scott,Enemies-to-lovers; Fitness/Wellness; Clean,Low–Medium
The Magic of Light,Jordan Abitz,Grumpy rancher; Foster care advocate; Second chance; Healing romance (closed‑door),Low–Medium
Resorting to Romance,Savannah Scott,Fake dating; friends to lovers; Single mom; Clean,Low–Medium
Love and Other Goals,Tracy Baack,Sports (baseball); friends to lovers; Closed-door,Low–Medium
Love and Other Chances,Tracy Baack,Sports; Community; Second chance; Closed-door,Low–Medium
Home Safe: A Sweet Baseball Romance,Tracy Baack,Baseball romance; Small town; Clean romance; Closed-door,Low–Medium
Not If I Save You First,Ally Carter,YA/adult; Romance; Political suspense,Low–Medium
The Blonde Identity,Ally Carter,"Adult; Spy; Action-romance, amnesia",Low–Medium
The Most Wonderful Crime of the Year,Ally Carter,Adult; Holiday mystery; Romance,Low–Medium
The Blonde Who Came in from the Cold,Ally Carter,Adult; Spy; enemies to more,Low–Medium
The Last Love Note,Emma Grey,Adult; Grief recovery; Second chance,Low–Medium
Pictures of You,Emma Grey,Adult; Second chance; Memory loss; Travel,
The Friend Zone,Sariah Wilson,friends to lovers; Small town; Sports; Emotional growth,Low–Medium
Just a Boyfriend,Sariah Wilson,friends to lovers; Small town; Dual POV,Low–Medium
Powerless,Lauren Roberts,YA fantasy; Enemies‑to‑lovers; Forbidden romance,Low–Medium
Powerful (Powerless #1.5),Lauren Roberts,YA fantasy; Novella; Secondary POV,Low–Medium
Reckless (Powerless #2),Lauren Roberts,YA fantasy; Enemies‑to‑lovers; High-stakes romance,Low–Medium
Fearless (Powerless #3),Lauren Roberts,YA fantasy; Series conclusion; Epic stakes,Low–Medium
Fearful (Powerless #3.5),Lauren Roberts,YA novella; Companion POV,Low–Medium
Roommaid,Sariah Wilson,"Workplace; Romance; Hotel setting, forced proximity ",Low–Medium
The Seat Filler,Sariah Wilson,Hollywood; Fake-dating; Workplace romance,Low–Medium
The Paid Bridesmaid,Sariah Wilson,"Wedding; Fake bridesmaid; Romance comedy, friends to more",Low–Medium
Cinder-Nanny,Sariah Wilson,Modern Cinderella; Nanny; Enemies-to-lovers,Low–Medium
,,,
The Hollywood Jinx,Sariah Wilson,Celebrity; Workplace; Enemies-to-lovers,Low–Medium
Hypnotized by Love,Sariah Wilson,"Celebrity; Enemies-to-lovers; Music-themed, childhood friends",Low–Medium
Party Favors,Sariah Wilson,Party setting; Romance; Humor,Low–Medium
